ID,高専,チーム名,作品名,企業評価額(億円),投資額(億円),順位,受賞,URL,チーム画像URL,作品画像URL
DCON2020_1,佐世保工業高等専門学校,佐世保高専魚市場チーム,ディープラーニングを用いた高速魚種選別システム,5,0.5,3,,https://www.jdla.org/news/20200824001/,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg
DCON2020_2,香川高等専門学校,MitoyoRobotics,草刈りロボット / 自動走行で草刈りを行う人工知能搭載ロボット,0.5,0.05,8,,https://www.jdla.org/news/20200824001/,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg
DCON2020_3,沖縄工業高等専門学校,Fish learning 2.0,ディープラーニングを用いた美ら海の環境保護プロジェクト,1.5,0.15,5,矢崎賞,https://www.jdla.org/news/20200824001/,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg
DCON2020_4,鳥羽商船高等専門学校,ezaki-lab,RouteMap / 鳥羽市を対象とした旅行プラン提供サービス,1,0.3,6,,https://www.jdla.org/news/20200824001/,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg
DCON2020_5,鳥羽商船高等専門学校,NIT TOBA. SiraisiLAB,Deep Learningを用いた高品質カンキツ育成支援システム,5,0.7,2,KDDI賞 / コミカミノルタ賞,https://www.jdla.org/news/20200824001/,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg
DCON2020_6,北九州工業高等専門学校,久池井研デジものチーム,物流倉庫の自動化と作業負担軽減を実現する次世代物流AGVシステム,,,,,https://www.jdla.org/news/20200824001/,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg
DCON2020_7,阿南工業高等専門学校,岡本Lab,ナメクジ忌避システム,,,,,https://www.jdla.org/news/20200824001/,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg
DCON2020_8,長岡工業高等専門学校,長岡高専視覚情報処理研究室,カリスモ / 車両を検出してアラートするモバイル端末,3,0.3,4,,https://www.jdla.org/news/20200824001/,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg
DCON2020_9,東京工業高等専門学校,プロコンゼミ点字研究会,:::doc（てんどっく） - 自動点字相互翻訳システム -,5,1,1,最優秀賞 / 若手奨励賞,https://www.jdla.org/news/20200824001/,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg
DCON2020_10,長岡工業高等専門学校,長岡高専プレラボチーム,音とセンサーを使って部屋に人が居るかを検知するシステム,0.5,0.05,9,アイング賞,https://www.jdla.org/news/20200824001/,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg
DCON2020_11,モンゴル3高専連合,モコ,IoTセンサーを使った火事検知と、ディープラーニングを使った火事の拡大範囲・ルート予測システム,0.5,0.1,7,,https://www.jdla.org/news/20200824001/,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg,https://codeforkosen.github.io/dcon-opendata/data/2020/dcon2020.jpg
