ID,高専,チーム名,作品名,チーム画像URL,作品画像URL,プレゼンURL,順位,企業評価額(億円),投資額(億円),受賞
DCON2021_1,旭川工業高等専門学校,旭川トマト研究会,次世代トマト収穫支援システム,https://codeforkosen.github.io/dcon-opendata/data/2021/img/1-1.jpg,https://codeforkosen.github.io/dcon-opendata/data/2021/img/1-2.jpg,https://www.youtube.com/watch?v=pytEysCxe4A&list=PLfEVSeetCBKMiuse62wW9vJrC1RzoNgvZ&index=55&pp=iAQB,,,,
DCON2021_2,一関工業高等専門学校,D’s > Zzz…,D’s > Zzz… ーディープラーニングによる運転者用眠気の検知、防止装置ー,https://codeforkosen.github.io/dcon-opendata/data/2021/img/2-1.jpg,https://codeforkosen.github.io/dcon-opendata/data/2021/img/2-2.jpg,https://www.youtube.com/watch?v=BlZw7fj_D0k&list=PLfEVSeetCBKMiuse62wW9vJrC1RzoNgvZ&index=49&pp=iAQB,,,,
DCON2021_3,長岡工業高等専門学校,和久井養鯉場,鯉愛レボリューション21,https://codeforkosen.github.io/dcon-opendata/data/2021/img/3-1.jpg,https://codeforkosen.github.io/dcon-opendata/data/2021/img/3-2.jpg,https://www.youtube.com/watch?v=4v5Zzvzds-s&list=PLfEVSeetCBKMiuse62wW9vJrC1RzoNgvZ&index=53&pp=iAQB,6,1,0.2,
DCON2021_4,石川工業高等専門学校,あいけん,おしゃべる,https://codeforkosen.github.io/dcon-opendata/data/2021/img/4-1.jpg,https://codeforkosen.github.io/dcon-opendata/data/2021/img/4-2.jpg,https://www.youtube.com/watch?v=zILjK0RUeVk&list=PLfEVSeetCBKMiuse62wW9vJrC1RzoNgvZ&index=51&pp=iAQB,7,0.8,0.15,
DCON2021_5,福井工業高等専門学校,プログラミング研究会,D-ON,https://codeforkosen.github.io/dcon-opendata/data/2021/img/5-1.jpg,https://codeforkosen.github.io/dcon-opendata/data/2021/img/5-2.jpg,https://www.youtube.com/watch?v=xXkzQmggTqw&list=PLfEVSeetCBKMiuse62wW9vJrC1RzoNgvZ&index=56&pp=iAQB,1,6,1,最優秀賞 / 若手奨励賞 / アイング賞 / KDDI賞
DCON2021_6,沼津工業高等専門学校,お花の気持ち,エレクトリカル花壇,https://codeforkosen.github.io/dcon-opendata/data/2021/img/6-1.jpg,https://codeforkosen.github.io/dcon-opendata/data/2021/img/6-2.jpg,https://www.youtube.com/watch?v=Z-QOyOH2QwM&list=PLfEVSeetCBKMiuse62wW9vJrC1RzoNgvZ&index=57&pp=iAQB,5,2,0.5,矢崎賞
DCON2021_7,鳥羽商船高等専門学校,ezaki-lab,NoRIoT,https://codeforkosen.github.io/dcon-opendata/data/2021/img/7-1.jpg,https://codeforkosen.github.io/dcon-opendata/data/2021/img/7-2.jpg,https://www.youtube.com/watch?v=tZ-irAQJ-fQ&list=PLfEVSeetCBKMiuse62wW9vJrC1RzoNgvZ&index=54&pp=iAQB0gcJCYsJAYcqIYzv,2,5,1,ウエスタンデジタル賞 / AGC賞
DCON2021_8,香川高等専門学校 詫間キャンパス,-TMT 2020.00,スマートマト,https://codeforkosen.github.io/dcon-opendata/data/2021/img/8-1.jpg,https://codeforkosen.github.io/dcon-opendata/data/2021/img/8-2.jpg,https://www.youtube.com/watch?v=Z9bkJTJnpAQ&list=PLfEVSeetCBKMiuse62wW9vJrC1RzoNgvZ&index=58&pp=iAQB,4,3,0.3,
DCON2021_9,北九州工業高等専門学校,Nitkit Shigeru_Lab,盲導Cane,https://codeforkosen.github.io/dcon-opendata/data/2021/img/9-1.jpg,https://codeforkosen.github.io/dcon-opendata/data/2021/img/9-2.jpg,https://www.youtube.com/watch?v=iSdins_vMwc&list=PLfEVSeetCBKMiuse62wW9vJrC1RzoNgvZ&index=50&pp=iAQB,3,4,0.5,
DCON2021_10,沖縄工業高等専門学校,なんくるないさ〜なんくるないカー,なんくるないさ〜なんくるないカー,https://codeforkosen.github.io/dcon-opendata/data/2021/img/10-1.jpg,https://codeforkosen.github.io/dcon-opendata/data/2021/img/10-2.jpg,https://www.youtube.com/watch?v=-ISlEXzvNZ8&list=PLfEVSeetCBKMiuse62wW9vJrC1RzoNgvZ&index=52&pp=iAQB,,,,TDK賞
