ID,URL,高専,チーム名,作品名,チーム画像URL,作品画像URL,インタビュー記事URL,メンター,メンター所属,メンター画像URL,メンターURL,プレゼン順,プレゼンURL,順位,企業評価額(億円),受賞,作品概要
DCON2022_1,https://dcon.ai/2023/products/%E9%81%B8%E6%9E%9C%E3%81%9B%E3%82%93%E3%81%8B/,鳥羽商船高等専門学校,Shiraishi lab,深層学習を活用した温州みかん栽培支援システム「選果せんか？」,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E3%83%81%E3%83%BC%E3%83%A0%E5%86%99%E7%9C%9F%E9%B3%A5%E7%BE%BD_Shiraishi-2048x945.jpg,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E4%BD%9C%E5%93%81%E5%86%99%E7%9C%9F_%E9%81%B8%E6%9E%9C%E3%81%9B%E3%82%93%E3%81%8B-2048x1152-1.png,https://dcon.ai/2023/products/interview-toba-shiraishi/,河瀬航大,株式会社フォトシンス代表取締役社長,https://dcon.ai/2023/wp-content/themes/dcon2023/images/mentor/mentor_kawase.jpg,https://photosynth.co.jp/,1,https://www.youtube.com/watch?v=xc_mTBptzNo#t=38m18s,8,1.2,文部科学大臣賞,"現在、深刻な担い手不足に悩まされている、三重県のみかん栽培を支援するために開発したシステムです。本システムは農家収入に大きく影響する、みかん果実の外観阻害要因の自動診断システムを組み込んだAIプレ選果機と、軽トラックの荷台に取り付ける事の出来る非常に安価なAI防除機（走行するだけで果樹を認識し、自動で農薬を散布可能）により構成されます。

AIプレ選果機で外観阻害要因を特定し、その傾向から翌年以降の防除計画を立案し、計画に従ってアタッチメント式AI防除機で防除作業を行うことで、高品質化と省力化を実現します。さらに防除中に撮影した果樹画像から収量予測も行い、多くの人手が必要な作業の省力化を安価に実現します。"
DCON2022_2,https://dcon.ai/2023/products/wb/,一関工業高等専門学校,suzukiLab,学校教育現場のWBモニタ,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E3%83%81%E3%83%BC%E3%83%A0%E5%86%99%E7%9C%9F_%E5%AD%A6%E6%A0%A1%E6%95%99%E8%82%B2%E7%8F%BE%E5%A0%B4%E3%81%AEWB%E3%83%A2%E3%83%8B%E3%82%BF.jpeg,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E4%BD%9C%E5%93%81%E5%86%99%E7%9C%9F_%E5%AD%A6%E6%A0%A1%E6%95%99%E8%82%B2%E7%8F%BE%E5%A0%B4%E3%81%AEWB%E3%83%A2%E3%83%8B%E3%82%BF.png,https://dcon.ai/2023/products/interview-ichinoseki/,岡田 陽介,株式会社ABEJA代表取締役CEO,https://dcon.ai/2023/wp-content/themes/dcon2023/images/mentor/mentor_img01.jpg,https://abejainc.com/ja/,2,https://www.youtube.com/watch?v=xc_mTBptzNo#t=54m24s,3,2,,"ウェルビーイングは幸福で肉体的、精神的、社会的に満たされた状態を指します。世界幸福度ランキングで上位を占めているのは北欧諸国であり，その理由は社会的支援が充実しているためであると考えられます。

一方、日本は休暇の少なさや取りづらさなどの問題があり、労働環境に不満を持つ人が多く存在しています。本作品では、学習達成度の向上を業績向上に当てはめました。データ収集では解答可能な問題を選定し、難易度に応じたパフォーマンスの変化を測定しました。

この作品ではディープラーニングで脳のパフォーマンスと脈拍の関連性から脳のパフォーマンスが高い状態をウェルビーイングの高い状態としている点が特徴的です。"
DCON2022_3,https://dcon.ai/2023/products/sfocus/,モンゴル科学技術大学付属高専,SF Team,S-Focus,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E3%83%A2%E3%83%B3%E3%82%B3%E3%82%99%E3%83%AB%E3%83%81%E3%83%BC%E3%83%A0%E5%86%99%E7%9C%9F%E6%AD%A3%E9%9D%A2.jpg,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E4%BD%9C%E5%93%81%E5%86%99%E7%9C%9F_%E3%83%A2%E3%83%B3%E3%82%B3%E3%82%99%E3%83%AB%E9%AB%98%E5%B0%82.jpg,https://dcon.ai/2023/products/interview-mongolia/,渋谷 修太,フラー株式会社 代表取締役会長,https://dcon.ai/2023/wp-content/themes/dcon2023/images/mentor/mentor_img07.jpg,https://www.fuller-inc.com/,3,https://www.youtube.com/watch?v=xc_mTBptzNo#t=1h12m07s,7,1.5,,"S-Focus(セーフフォーカス)は、作業服が適切に着用されていることを確認することにより、労働安全を追跡するように設計されたデバイスです。怪我、怪我、潜在的なリスクを防ぐ責任があるこの製品は、専用の服を着用するすべての業界や企業で使用できます。

リアルタイム物体検出でエラーを検知した場合や、従業員が服を着ていない場合には、労働安全のエンジニアなどの必要な対象物に通知します。GSM Simモジュールを作成することで、作成者は可能な限り最速かつ最も金庫方法で労働安全のエンジニアに情報を提供することができました。 

S-Focus自体には、怪我をしない防止システムを考えたり、人が地面に落ちたときに通知したりするなど、開発できる機会がたくさんあります。"
DCON2022_4,https://dcon.ai/2023/products/voice-ball/,沖縄工業高等専門学校,UTAMARU♪,Voice Ball,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E3%83%81%E3%83%BC%E3%83%A0%E5%86%99%E7%9C%9F_vocal_tuner-2048x1536-1.jpg,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E4%BD%9C%E5%93%81%E5%86%99%E7%9C%9F_vocal_tuner-2048x1152-2.png,https://dcon.ai/2023/products/interview-okinawa/,佐藤 聡,connectome.design株式会社 代表取締役社長,https://dcon.ai/2023/wp-content/themes/dcon2023/images/mentor/mentor_img05.jpg,https://www.connectome.design/,4,https://www.youtube.com/watch?v=xc_mTBptzNo#t=1h32m19s,4,2,,"私たちVoice Ballは、歌唱の特徴を可視化し、誰でも簡単に高度な歌唱訓練を行うことができるシステムの開発を行っています。 

現在、カラオケ業界はコロナウィルスの影響もあり、業績は極端に落ち込んでいます。そこで、歌声の音響特徴をAI で抽出し、リアルタイムで見える化する事で、『見て・聴いて・ 歌う』ゲーム感覚でボイストレーニングを行えるシステムを考案しました。

既存のカラオケの採点システムの 課題として、『音量』『音高』『音価』『律動』のズレの度合いのみを評価基準にしているため、 人の音楽的感性に基づいて歌唱の巧拙を評価できているとは言い難いと言えます。

例えば、 歌が上手い人でも、歌唱をアレンジすると、スコアは低く評価されてしまいます。声楽家が高度な歌唱表現を行おうとするとき、「豊かさや響き」のある『音色』を 使いこなす事が重要とされているため、音色の旋律（時間変化）に着目し、 その音響特徴を見える化する機能を実装しました。"
DCON2022_5,https://dcon.ai/2023/products/%E3%81%9D%E3%81%AE%E9%9F%B3%E3%81%A9%E3%83%BC%E3%81%84%E3%81%8C/,長岡工業高等専門学校,長岡高専プレラボ,その音どーいが? -音による異常検知で工場の人手不足を解決-,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E3%83%81%E3%83%BC%E3%83%A0%E5%86%99%E7%9C%9F_%E3%81%9D%E3%81%AE%E9%9F%B3%E3%81%A8%E3%82%99%E3%83%BC%E3%81%84%E3%81%8B%E3%82%99-2048x1520-1.jpeg,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E4%BD%9C%E5%93%81%E5%86%99%E7%9C%9F_%E3%81%9D%E3%81%AE%E9%9F%B3%E3%81%A8%E3%82%99%E3%83%BC%E3%81%84%E3%81%8B%E3%82%99-2048x1118-1.jpg,https://dcon.ai/2023/products/interview-nagaoka/,福野 泰介,株式会社jig.jp 取締役会長,https://dcon.ai/2023/wp-content/themes/dcon2023/images/mentor/mentor_fukuno.jpg,https://jig.jp/,5,https://www.youtube.com/watch?v=xc_mTBptzNo#t=1h51m20s,6,1.5,AGC賞、トピー工業賞,"「その音どーいが？」は、工作機械の動作音から機械の異常を検知するソリューションです。工場では、工作機械の異常により不良品が生産されることで多大な損失が生じることがあるほか、事故に繋がる恐れがあります。

そのため工作機械の異常をいち早く察知することが求められている。従来では、工作機械から発せられる様々な動作音をベテラン社員が聞き分けるという職人技によって機械の異常を判断している。

この作品を導入することで、職人技などの技術をAIが代わってやることにより、少子化による後継者不足問題などの社会問題を解決する1つのアプローチとなることを目標としています。また、工作機械の監視・管理を若手に任せることができ、工場内の効率化や人手不足の解消にも貢献できると考えています。"
DCON2022_6,https://dcon.ai/2023/products/smart-searcher-neo/,大島商船高等専門学校,Smart Searcher 開発LAB,Smart Searcher NEO,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E3%83%81%E3%83%BC%E3%83%A0%E5%86%99%E7%9C%9F_smart_searcher_neo.jpg,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E4%BD%9C%E5%93%81%E7%B4%B9%E4%BB%8B_smart_searcher_neo-2048x1365-1.jpg,https://dcon.ai/2023/products/interview-oshima/,岩佐 琢磨,株式会社Shiftall 代表取締役CEO,https://dcon.ai/2023/wp-content/themes/dcon2023/images/mentor/mentor_img10.jpg,https://ja.shiftall.net/,6,https://www.youtube.com/watch?v=xc_mTBptzNo#t=2h30m11s,1,3.5,最優秀賞、ウエスタンデジタル賞、NECソリューションイノベータ賞,"従来の海洋ごみ回収方法では、海岸に打ち上げられたごみを人海戦術で回収する場合が一般的です。これには多くの人員と時間が必要です。また、凹凸のある複雑な海岸やテトラポットの間などのごみに対しては到底実現できるものではない状況です。

そこで、私たちは、陸上に打ち上げられる前の海上にごみが漂う間に、ドローンと海上ドローンを併用してごみ位置を認識し、最適航路を通ってごみを回収する一連のシステム『Smart Searcher』の開発を行っています。このシステムは、海洋ごみ回収の大幅な効率化を可能にします。

この実現には、海洋ごみの発見・回収にAIやIoTと自動操縦ドローンを取り入れ、空から探索した海洋ごみをAIで検出し、海上の回収用海上ドローンに通信して最適な航路を導きながら、連携しながら回収する仕組みとなっています。"
DCON2022_7,https://dcon.ai/2023/products/%E3%83%AB%E3%83%83%E3%82%AF%E3%83%B3%E3%81%A1%E3%81%B3/,沼津工業高等専門学校,D4AI,ルックンちび,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E3%83%81%E3%83%BC%E3%83%A0%E5%86%99%E7%9C%9F%E6%B2%BC%E6%B4%A5_D4AI-2048x1536.jpeg,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E4%BD%9C%E5%93%81%E5%86%99%E7%9C%9F_%E3%83%AB%E3%83%83%E3%82%AF%E3%83%B3%E3%81%A1%E3%81%B2%E3%82%99.jpg,https://dcon.ai/2023/products/interview-numazu/,折茂 美保,ボストン コンサルティング グループ マネージング・ディレクター & パートナー,https://dcon.ai/2023/wp-content/themes/dcon2023/images/mentor/mentor_orimo.jpg,https://www.bcg.com/ja-jp/,7,https://www.youtube.com/watch?v=xc_mTBptzNo#t=2h49m00s,4,2,DMG森精機賞,"私たちD4AIは、保育園や幼稚園で園児たちを見守りながら、思い出のシーンを自動で記録し配信するシステムの開発を行っています。

現在日本は、少子化が深刻な社会問題となっており、さまざまな関連課題を抱えています。私たちは、担い手不足でますます働きにくい職場となっていく保育園と幼稚園をゆとりのある楽しい職場にするために、保育士や幼稚園の先生たちの負担を軽減させながら、園と保護者の間の円滑なコミュニケーションを支援するシステムを構築します。

このシステムでは、動作推定、表情認識などのAI技術を採用し、園児たちの活動を見守りながらハイライト動画を自動編集し、保護者へ配信します。また、ヒヤリハット予測を通じて危険な場面では、自動音声により注意を促します。"
DCON2022_8,https://dcon.ai/2023/products/%E3%82%8A%E3%81%B7%E3%82%89/,鳥羽商船高等専門学校,ezaki-lab,りぷら,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E3%83%81%E3%83%BC%E3%83%A0%E5%86%99%E7%9C%9F_%E3%82%8A%E3%81%B5%E3%82%9A%E3%82%89-1.jpg,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E4%BD%9C%E5%93%81%E5%86%99%E7%9C%9F_%E3%82%8A%E3%81%B5%E3%82%9A%E3%82%89.png,https://dcon.ai/2023/products/interview-toba-ezaki/,伊豫 愉芸子,"RABO, Inc. President & CEO",https://dcon.ai/2023/wp-content/themes/dcon2023/images/mentor/mentor_rabo.png,https://rabo.cat/,8,https://www.youtube.com/watch?v=xc_mTBptzNo#t=3h06m15s,2,3,経済産業大臣賞、アイング賞、アクセスネット賞、トヨタ自動車賞、丸井グループ賞,"「りぷら」は、プラスチックが循環する社会を作るサービスです。 プラスチックの処分方法は、原料として再利用するマテリアルリサイクル、エネルギーに変換するケミカルリサイクル、そして燃やして処分するサーマルリカバリーがあります。 

現状はサーマルリカバリーの割合が大きく、環境汚染、プラスチック資源の枯渇が進んでいます。これらを解決するにはマテリアルリサイクルを推進する必要があり、プラスチックの洗浄、分別が必要です。

 本サービスは、ディープラーニングを活用したプラスチックの材質判別機を用いて、一般の方がゴミ分別、洗浄をすることでマテリアルリサイクルを推進します。これによりプラスチックが循環する社会を作ります。"
DCON2022_9,https://dcon.ai/2023/products/road-damage-scanner/,仙台高等専門学校 広瀬キャンパス,RDS LAB,Road Damage Scanner,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E3%83%81%E3%83%BC%E3%83%A0%E5%86%99%E7%9C%9F_road_damage_scanner-2048x1536-1.jpg,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E4%BD%9C%E5%93%81%E5%86%99%E7%9C%9F_road_damage_scanner-2048x1152-1.jpeg,https://dcon.ai/2023/products/interview-sendai/,田中 邦裕,さくらインターネット株式会社 代表取締役社長,https://dcon.ai/2023/wp-content/themes/dcon2023/images/mentor/mentor_img08.jpg,https://www.sakura.ad.jp/corporate/,9,https://www.youtube.com/watch?v=xc_mTBptzNo#t=3h23m55s,10,1,,"これから自動運転車が発展していくでしょう。しかし、自動運転車は白線を認識して走行しているため、経年劣化によって薄くなったり消えてしまうと重大な事故に発展する可能性があります。また、白線や横断歩道などが消えることにより、地域の子供達が交通事故に巻き込まれる危険性もあります。

本システムでは、画像から白線の消えや路面の傷みなどの路面の劣化を検出してデータを収集・分析することができるシステムを開発しました。大きな特徴は、Webを通じて誰でも利用可能だという点です。白線の寿命は12ヶ月ほどと短い上に、交通量や気候などによって大きくばらつきが出るため、自治体がすべての道路を調査するのは時間も費用もかかります。

自分たちの地域の道路を自分たちで保全し、地域の安全を守る、そんなシステムを開発しました。"
DCON2022_10,https://dcon.ai/2023/products/crow-chaser/,米子工業高等専門学校,美ら海ペッ取ラーズ,ポントス,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E3%83%81%E3%83%BC%E3%83%A0%E5%86%99%E7%9C%9F_crow_chaser-1-2048x1535-1.jpg,https://dcon.ai/2023/wp-content/uploads/sites/5/2023/03/%E4%BD%9C%E5%93%81%E5%86%99%E7%9C%9F_crow_chaser-2048x1316-1.png,https://dcon.ai/2023/products/interview-yonago/,高橋 隆史,株式会社ブレインパッド代表取締役社長,https://dcon.ai/2023/wp-content/themes/dcon2023/images/mentor/mentor_takahashi.jpg,https://www.brainpad.co.jp/,10,https://www.youtube.com/watch?v=xc_mTBptzNo#t=3h39m07s,9,1,農林水産大臣賞、ロジスティード賞,"私たちが住んでいる鳥取県では、梨やスイカといった農作物への有害鳥獣による食害が大きな問題となっている。例えばカラスの被害に対する対策として、爆音機や防鳥ネット等が挙げられるが、手軽かつ長期的な効果が見込めるものは存在しない。 

そこでこれらの被害を減らす新たな手法として、物体検出・ワイヤレスIoT・ドローン制御を組み合わせたカラス撃退システムの開発に取り組んでいる。あらかじめカラス等の対象の検出モデルをYOLOv5を用いて作成し、ドローンとマイコン間でカメラ映像のやりとりを行い、カラスの探索・撃退を自動で行う。

作成するモデルの教師画像を変えることで別の動物に柔軟に対応することも可能であると考えている。"
