ID,PR
DCON2022_1,"本システムは、三重県のみかん栽培を支援するために開発されました。現在、みかん栽培において深刻な担い手不足が悩みの種となっていますが、本システムはその問題を解決するために考案されたものです。

本システムには、AIプレ選果機とAI防除機の2つの機器が組み込まれています。AIプレ選果機は、みかん果実の外観阻害要因を自動診断することができます。この機能により、翌年以降の防除計画を立案し、高品質なみかんの生産につながる防除作業を効率的に行うことができます。

また、軽トラックに取り付けることができる非常に安価なAI防除機は、走行するだけで果樹を認識し、自動で農薬を散布することができます。これにより、多くの人手が必要な作業の省力化を実現できます。

さらに、防除中に撮影した果樹画像からは、収量予測も行うことができます。この機能により、作業の省力化を安価に実現することができます。

本システムの最大の魅力は、高品質なみかんの生産が可能になることです。また、省力化が実現されることで、担い手不足の問題を解決することができます。このように、技術とビジネス両面において期待できる成果が見込まれるシステムと言えます。"
DCON2022_2,"この作品では、ウェルビーイングの重要性を提示し、その状態を測定する技術や手段を探求しています。日本の労働環境が問題視されている中、学習のパフォーマンス向上と業績向上の関係性を証明することで、社員のメンタルヘルス改善や生産性向上などに役立てることを目指しています。

特に注目すべきは、脳のパフォーマンスと脈拍の関連性をディープラーニングで解析することで、現状のウェルビーイングを客観的に測定できるという点です。これにより、今後は企業や個人の健康管理やメンタルケアに役立てられることが期待されます。

将来的には、この技術がビジネスにどのように活かされるのかにも注目したいところです。ウェルビーイングの向上は、社員のモチベーションや生産性向上につながるため、企業の競争力を向上させることができるかもしれません。この作品は、技術とビジネスの双方に興味を持っている高専生にとって、今後の研究や就職活動に向けた重要な示唆を与えてくれるでしょう。"
DCON2022_3,"S-Focusは、労働安全を確保するために開発されたデバイスです。作業服を着用することで安全を確認し、万が一の事故を防ぎます。リアルタイム物体検出技術を使用して、従業員が服を着ていなかったり、エラーがあった場合には自動的に通知が送信されます。また、GSM Simモジュールを使用することで、最速で安全な方法でエンジニアに通知できます。

さらに、S-Focusには多くの開発ポテンシャルがあります。怪我を防止するためのシステムの開発や、従業員が地面に落ちた場合に通知を出す機能の開発などが挙げられます。S-Focusは、工場や建設現場などの危険な場所で働く人々の安全を守ることができる革新的なデバイスです。技術とビジネスを学ぶ高専生には、このようなプロジェクトを通じて、社会に貢献することができる可能性があると言えます。"
DCON2022_4,"Voice Ballというシステムは、歌唱や音楽に興味を持っている方々にとって、とても魅力的なものです。既存のカラオケの採点システムが、あくまで少数の基準のみで判断しているため、本当に「上手い歌唱」を評価するのは難しいという問題点がありました。そこで、Voice BallではAIを用いて、歌唱の音響特徴を可視化し、歌唱表現をより豊かなものにするために、音色の旋律にも着目しています。これにより、従来のカラオケとは異なる、より高度なボイストレーニングが可能となり、自分自身の歌唱力の向上に繋がります。

さらに、コロナウィルスの影響でカラオケ業界が厳しい状況にある中、Voice Ballは自宅でも簡単に利用できるため、今後のニーズが高まってくることが予測されます。技術とビジネスの両面において魅力的なシステムといえるでしょう。"
DCON2022_5,"「その音どーいが？」は、革新的なソリューションです。工場で生産される製品の品質を保つために、機械の異常を素早く検知することが必要です。この作品は、AIを使用して機械の動作音から異常を検知することができます。これにより、ベテラン社員が持つ職人技や知識をAIに置き換えることができます。

また、この作品は、若手に機械監視・管理を任せることができます。これは、少子化による後継者不足問題に対処するための一つのアプローチです。さらに、AIによって監視されることにより、人のミスを減らすことができます。これにより、工場内の効率化や人手不足の解決に役立ちます。技術とビジネスを学ぶ高専生にとっては、この作品が機械学習、音響技術、そして、ビジネスリーダーシップの具体例となるでしょう。"
DCON2022_6,"海洋ごみの回収を効率化するため、高専生の皆さんへ、「Smart Searcher」というシステムをご紹介します。これは、海岸に打ち上げられる前の海上に漂うごみを、ドローンと海上ドローンを併用して回収するシステムです。このシステムを使うことで、従来の人海戦術に比べ多くの人員と時間を必要とせず、複雑な海岸やテトラポットの間など、現実には困難であった環境でもごみを回収できるようになりました。

このシステムの実現には、AIやIoTと自動操縦ドローンを技術として取り入れ、空から探索した海洋ごみをAIで検出し、海上の回収用海上ドローンに通信して最適な航路を導きながら、連携しながら回収する仕組みになっています。このように、これまでにない複合技術を組み合わせることで、海洋ごみの回収効率を大幅に向上させることができました。"
DCON2022_7,"D4AIの開発する保育園・幼稚園支援システムは、AI技術を活用して保育士や先生の負担を軽減し、園と保護者の間の円滑なコミュニケーションを支援するという大きな魅力があります。保育園・幼稚園の現状に問題意識を持ち、社会問題に対する解決策として展開されることで、社会的なインパクトを生む可能性がある点も注目されます。

具体的には、AI技術を駆使して園児たちの動きや表情からシーンの動作推定や表情認識を行い、自動的にハイライト動画を編集して保護者に配信する点が特徴的です。また、ヒヤリハット予測によって、危険な場面で自動音声により注意を促し、事故の防止にも繋がります。このように、AI技術を活用することによって、保育園・幼稚園での安全・安心な環境を実現することができると言えます。

さらに、保育士や先生たちが本来行うべき業務に集中することができるため、働き方改革も推進されます。保育園・幼稚園の担い手不足が深刻な現状にある中、このシステムはゆとりのある職場環境の整備にも貢献し、保育士や先生たちの労働環境改善にも繋がると言えます。

以上のように、D4AIの開発する保育園・幼稚園支援システムは、AI技術を活用することで多方面に渡る魅力を持ちます。未来を担う園児たちの成長を見守り、保護者との円滑なコミュニケーションを支援することで、保育園・幼稚園の問題解消に大きく貢献することが期待されます。"
DCON2022_8,"「りぷら」は、プラスチックの問題を解決するために開発されたサービスです。プラスチックは処分方法によって環境汚染の原因になることもあるため、このサービスは特に注目されています。

「りぷら」が提供するのは、ディープラーニングという技術を使ったプラスチックの材質判別機です。この機械を使うことで、一般の方でもプラスチックの分別が簡単にできるようになります。プラスチックを正しく分別することで、再利用する際の材料をしっかりと選別し、マテリアルリサイクルを進めることができます。これにより、プラスチックが循環するサステナブルな社会を作ることができます。

「りぷら」が目指すのは、プラスチック資源を有効に活用できる社会の実現です。「りぷら」は、ディープラーニングによる材質判別技術を通じて、プラスチック資源の有効活用を促進することで、持続可能な社会の実現に貢献することを目指しています。このサービスを通じて、プラスチック問題に取り組むために必要な技術やビジネスの要素について学べることで、高専生にとっても非常に興味深いサービスと言えます。"
DCON2022_9,このシステムは、自動運転車が白線や横断歩道を正確に認識するために必要な情報を提供することができます。さらに、その情報は自治体のみならず、誰でも利用可能なWeb上で確認できるため、地域の安全を守るために行動することができます。また、このシステムは自治体の負担を軽減し、効率的な保全活動ができるというメリットもあります。高専生のみなさんが今後、自動運転車や地域の安全性に興味を持つことを期待しています。
DCON2022_10,"鳥取県では、カラスなどの有害鳥獣による農作物への食害が大きな問題となっています。従来の対策である爆音機や防鳥ネットなどは、手軽ではありますが長期的な効果が見込めないため、新しい解決策が求められていました。

その解決策として注目されるのが、物体検出技術・ワイヤレスIoT・ドローン制御を組み合わせたカラス撃退システムです。このシステムでは、事前にカラスなどの動物を検出するためのモデルを作成し、ドローンとマイコンが連携してカラスを自動で探索・撃退します。

このシステムの特徴は、教師画像を変えることで別の動物にも対応できる点です。例えば、農作物を荒らすイノシシや鹿なども同様に対処できる可能性があります。また、安全性や効率性の面でも優れていることから、今後ますます注目を集めるでしょう。一緒に技術とビジネスを学び、新しい可能性を広げましょう。"
