ID,URL,高専,チーム名,作品名,メンター,メンター所属,チーム画像URL,作品概要,作品画像URL,意気込み,順位,企業評価額(億円)
DCON2024_1,https://dcon.ai/teams/teams/kushiro2024/,釧路工業高等専門学校,メディア工学研究室,"シカとの遭遇 ~no accident, no more cry. . .~",河瀬 航大,株式会社フォトシンス　代表取締役社長,http://dcon.ai/wp-content/uploads/2024/03/teamphoto_kushiro.jpg,私たち釧路高専メディア工学研究室は、IoT、画像認識や深層学習などの技術を活かし、人々の生活に役立つ研究、開発を行っています。,https://dcon.ai/wp-content/uploads/2024/03/作品写真-1200x675.png,私たちメディア工学研究室は北海道全体のシカ衝突事故を防ぐという問題を解決するためにDeeplearingを用いて研究を行ってきました。 この研究を行うことによって衝突事故を1件でも減らすように努力してきました。このDCON2024に向けて最高の発表ができるように準備してきたので、 本選に出場した時には今までの研究成果を皆さんに伝わるように発表したいと思います。,,
DCON2024_2,https://dcon.ai/teams/teams/asahikawa2024/,旭川工業高等専門学校,北国のデジタル・まじしゃんズ,e-hon ー動くデジタルえほんー,折茂 美保,ボストン コンサルティング グループ　マネージング・ディレクター&パートナー,http://dcon.ai/wp-content/uploads/2024/03/teamphoto_asahikawa.jpg,手軽に動く絵本を制作し、閲覧し、共有できるスマートフォンアプリケーションです。 ユーザは動かすキャラクターやストーリー、音声などを簡単に追加でき、アプリケーションからはAIによる補助機能が背景画像やストーリーを提案し、誰でも手軽に動く絵本を制作できるようサポートします。閲覧時には、紙のページをめくるような操作で絵本を閲覧し、録音した音声が再生されます。さらにChatGPTと自作の画像分類AIを活用してコンテンツの審査と分類を行い、作成した作品を共有できるプラットフォームの構築します。私たちはこれらの機能をもって動く絵本を楽しんでもらうためのアプリケーション及びプラットホームの実現を目指します。,https://dcon.ai/wp-content/uploads/2024/03/作品写真-1-1200x680.png,事業プランのメインはアプリケーションの機能ですが、ディープラーニングを取り入れてよりよい機能の実現を目指します！E-honで世界を塗り替えます！,,
DCON2024_3,https://dcon.ai/teams/teams/gunma2024/,群馬工業高等専門学校,ユビキタスVR ラボ,ユビキタスシステム,岩佐 琢磨,株式会社Shiftall　代表取締役CEO,http://dcon.ai/wp-content/uploads/2024/03/teamphoto_gumma.jpg,当作品「ユビキタス」は、VR/AR環境内の全ての物体に対する触感を提供する革新的なデバイスです。目指すは、よりリアルで没入感溢れるメタバース体験の実現。既存のデバイスが提供できない仮想世界への反応を実現することが、この作品の起点です。,https://dcon.ai/wp-content/uploads/2024/03/sakuhingunma.jpg,我々「ユビキタスVRラボ」は、群馬工業高等専門学校の学生として、VR/AR技術の最先端を目指し、「ユビキタスVR接触判定システム」の開発に取り組んでおります。このプロジェクトを通じて、我々はメタバースの可能性を広げ、人々のメタバース体験を根本から変革することを目指しています。我々はユビキタスシステムを本気で市販化させることを考えていますが、それにはメンターの皆様の深い知識と経験が必要であり、そのご指導が私たちの技術的な洞察と創造力の発展に不可欠だと考えております。私たちは、メンターの皆様からのフィードバックを大切にし、常に学び、この成長し続けるメタバース界隈に革新を起こしていきたいです！現状、事業プランについてはは既にビジネスを進めており、また市場規模も何となく把握できている分、計画が立てやすいと考えておりますが、肝心のプロダクトについて、1次審査提出1週間前から素人目ながら突貫で開発を進めており、なんとか動作するところまで漕ぎつけることができましたが、ディープラーニングの精度がまだ低く、製品化するためには改善が必要な点が多数あります。我々のチームには株式会社Shiftall様の製品を使用しているメンバーが多数おり、また我々の目指す先にある者としてメンターの岩佐琢磨さんに指導をしてもらいたいです。メンターの皆様と共に、この革新的なデバイスを製品化することを心より楽しみにしております！,4,3
DCON2024_4,https://dcon.ai/teams/teams/fukui2024/,福井工業高等専門学校,数値計算部,elicon ~小規模店舗向け顧客分析システム~,福野 泰介,株式会社jig.jp　創業者,http://dcon.ai/wp-content/uploads/2024/03/teamphoto_fukui.jpg,「elicon」というシステムは、小規模店舗向けの顧客層や混雑を分析するためのシステムです。人数や方向、通過した人の情報（年齢、性別、人種など）を収集し、AIがこれらの情報を分析して翌日の混雑予測などを行います。このシステムの特徴は、従来のシステムと比べて導入の障壁が低いことです。既存のシステムでは導入のハードルが高く、導入が困難でした。eliconでは、クラウドで処理を行う必要がないためコストを抑えられます。また、AIが統計を分析し予測を行うため、統計に関する専門知識は必要ありません。このようにしてeliconでは今まで客層分析を行うことの難しかった小規模店舗でも導入しやすい設計になっています。,https://dcon.ai/wp-content/uploads/2024/03/作品写真.jpeg,数値計算部という名前ですが、クラスの中で意欲のある３人が集まってできたチームです。知識や技術はまだまだ成長過程ですが、試行錯誤して頑張っています。 　観光関係の方やお店を営まれている方にeliconのプランをお話しした際には、顧客情報の活用に対するニーズが実際にあることがわかりました。これに応えるためにも、このプロジェクトを成功させたいと意気込んでおります。,,
DCON2024_5,https://dcon.ai/teams/teams/numazu2024/,沼津工業高等専門学校,データドリブンウェア,倉庫ナビ,佐藤 聡,connectome.design株式会社　代表取締役社長,https://dcon.ai/wp-content/uploads/2024/04/teamphoto_numazu2.jpg,日本の生産年齢人口は年々減少しており、特に製造業では、人材不足や業務効率化の課題が深刻化しています。一般的に工場や倉庫において、大量の在庫や設備の管理を自動化するためには高額な機材の導入や既存システムの刷新が必要であり、また、高齢化により最新技術を使いこなせる人材が不足しています。さらに、中小企業が製造業の大半を占める中、IT人材不足やDXの推進の遅れが課題となっています。,https://dcon.ai/wp-content/uploads/2024/03/作品写真-Haru-Sato-1200x972.jpeg,日本の技術力・品質は世界に誇れるものです。しかし少子高齢化によって企業の人手不足による技術の途絶、品質の低下などが考えられます。そこでエンジニアの卵である私たち高専生の力で日本のものづくりの未来を明るく照らしていきたいです！,7,0.5
DCON2024_6,https://dcon.ai/teams/teams/toyota2024/,豊田工業高等専門学校,早坂・大畑Lab.,WCS,岡田 陽介,株式会社ABEJA　代表取締役CEO,https://dcon.ai/wp-content/uploads/2024/04/teamphoto_toyota2.jpg,WCS（White Carbon Sensor）は、「カーボンニュートラル」の実現を「AI」の力によって支援します。 コンクリートはCO2を吸収・固定する性質を持つことから、近年では「White Carbon」と称されています。そこで本プロジェクトでは、深層学習を利用して、コンクリート構造物が固定するCO2を定量的に評価するシステムを開発しました。 本システムは、コンクリート表面画像からのCO2吸収速度を予測するAIと、CO2を吸収する構造物におけるコンクリート部分の面積の算出の２つの要素により構成されます。 日本には高度経済成長期に建設された多くのコンクリート構造物がストックされています。 これら既存のコンクリート構造物が固定化するCO2を評価し、新たな価値を創造することで、CO2排出の抑制と経済成長との両立を、WCSが実現します。,https://dcon.ai/wp-content/uploads/2024/03/紹介写真-山田活樹-1200x675.png,DCON本選の舞台に立つため、1年以上前から頑張って取り組んできました。メンターの方と一緒に、ビジネスプランに磨きをかけ、念願のアレを果たしたいと考えています。,6,2
DCON2024_7,https://dcon.ai/teams/teams/akashi2024/,明石工業高等専門学校,Akashi Intelligence,LookON,南野 充則,,https://dcon.ai/wp-content/uploads/2024/04/teamphoto_akashi2.jpg,―フェイク画像判断システムから広がる無数のミライ―,https://dcon.ai/wp-content/uploads/2024/03/作品写真_LookOn-.png,私たちはとにかく「分かりやすいサービスをつくる」ということをモットーに日々活動しています！技術者としてこだわりたい気持ちも有りつつ，自分がユーザーの目線に立った時に使い方やその目的などがパッと見ただけでハッキリと分かるものになっているかということを常に考えながら開発を行いました。まだソフトウェアしかできていない段階ですが，意義があると信じ，社会が抱える課題の一刻も早い解決のため貢献できるように奮闘します！,,
DCON2024_8,https://dcon.ai/teams/teams/kagawa2024/,香川高等専門学校　高松キャンパス,村上らぼ＆宇宙開発研究部,貧酸素水塊検出・赤潮予測システムおよび水中魚体監視システム,田中 邦裕,さくらインターネット株式会社　代表取締役社長,http://dcon.ai/wp-content/uploads/2024/03/teamphoto_kagawa.jpg,本システムは、養殖業をDX化し、漁業損失を減らすとともに、業務の効率化を狙うことを目的としています。具体的には、以下の4つの機能があります。 ①赤潮の発生移動予測：直島に設置したセンサ、または、衛星からのデータを用いて赤潮の発生を予測したあと、赤潮の移動予測を行います。②航路の最適化：潮流の向きを考慮した航路の最短距離を導き、使用者に知らせます。③環境データのモニタリング：生け簀の酸素データ等を生産者に知らせます。④盗難、侵入の検知：生け簀に侵入する船や人を検知し、生産者に通知を行います。,https://dcon.ai/wp-content/uploads/2024/03/作品写真_最終提出-000-kane-1200x900.jpg,日本の養殖業を僕たちに救わせてください！！,2,4
DCON2024_9,https://dcon.ai/teams/teams/oita2024/,大分工業高等専門学校,Sleep-New-World,FAIP (Future Artificial Intelligence Pillow),渋谷 修太,フラー株式会社　代表取締役会長,https://dcon.ai/wp-content/uploads/2024/04/teamphoto_oita2.jpg,私たちは、現在、重要な社会課題でもある睡眠不足の解消を目指し、お客様に少しでも良い眠りを提供するために『FAIP（Future Artificial intelligence Pillow）』を開発しました。,https://dcon.ai/wp-content/uploads/2024/03/作品写真-1-1200x900.jpeg,私達は、日本が抱えている問題の1つである睡眠不足を解消するために本製品「FAIP」を開発しました。本製品の開発を進める中で、特に空気袋の制作には多くの課題がありました。限られた予算の中で、学生である私達が外注を企業に依頼した際、ほとんどの企業からは断られました。自作も試みましたが、空気漏れが必ず発生し作成することは大変困難でした。しかし数十社に外注の見積もりを依頼した結果、ある企業が無償で提供してくれることとなりました。また、データ収集も非常に困難でしたがクラスメイトが協力してくれたおかげで、精度には改善の余地があるものの、推論をすることができました。本製品の開発にはチームメンバーだけでなく、多くの方が携わっています。ハードウェア、ソフトウェア、およびビジネスプランについてはまだ改善すべき点が多くありますが、私達は彼らの協力を無駄にすることなく必ず本製品を世界に普及させ、枕と言ったら「FAIP」、「FAIP」と言ったら枕と言えるような世界にします。メンターの皆様には、ハードウェアの部分では現在、電磁弁やチューブ、回路等が外付けになっているため枕内部に組み込む方法、ソフトウェアについてはスマホへの導入や推論処理の精度向上についてアドバイスを伺いたいです。私達は本製品が世界を変えることが出来ると確信しております。どうぞよろしくお願いします！,3,3.5
DCON2024_10,https://dcon.ai/teams/teams/okinawa2024/,沖縄工業高等専門学校,ミヤギ農家,AgreenTech-リジェネラティブ農業をデザインする-,高橋 隆史,株式会社ブレインパッド　取締役会長 Co-Founder,http://dcon.ai/wp-content/uploads/2024/03/teamphoto_okinawa.jpg,私達チームは社会課題に挑戦して起業したい！！という思いを持った『情報通信システム工学科』と『生物資源工学科』のメンバーで構成され、それぞれの学科の特色を活かした作品をつくることにしました。提供するサービスとしては、ドローンとAIを活用して、農作物の生育状況と土壌（地力）の関係性から生物多様性の度合いを見える化するAgriTechと、地域から発生する食品残渣や鶏糞、海水、バイオ炭、各種微生物を用いて低コストで環境回復にも貢献する資材、GreenTechを開発します。そして、AgriTechとGreenTechを統合したAgreenTechでリジェネラティブ（環境再生型）農業をデザインするためのDX基盤を提供します。これにより、現在の化学肥料や農薬に頼る農業を根本から変えていきます！,https://dcon.ai/wp-content/uploads/2024/03/作品写真_沖縄高専ver2-猫空-1200x748.jpg,私達はAgreenTech市場を創造して、農業界のBigTechになる事を目指しています。ビジネスプランをブラッシュアップしてクラウドファンディングで起業資金を調達するために、DCONと並行して、2024年３月に開催される高専起業家サミットにもエントリーしています。また、これまでに学外の多くの協力者にサポートして頂き、ここまで進めてくる事ができました。ある農家の方からは、「もう農業は引退を考えていたけど、その前に、皆さんのような若い人が農業に興味や関心、危機感を持ってくれて、知識を伝える事ができて嬉しい。ぜひ起業して、今の農業を根本から変えて欲しい。そのために出来る限りの協力をするよ！」との言葉を頂きました。その他にも、私達の取り組みに期待して、土地を無償で貸してくださった方、土地の整地等の資金面を援助してくださった方、農業に必要になる資材や機材を無償で提供してくださった方々に恩返しするためにも、今はDCONで過去最高額で優勝して起業する事を目指して取り組んでいます。もし優勝できたら、高専には生物系の学科があるって事もしっかりPRしたいです！！私達の取り組みは、どうしても天候に左右されてしまうため、進捗が遅れている部分もありますが、選んで頂いた暁には、本選までにメンターに太鼓判を捺してもらえるような作品にしますので、是非、ご協力のほど宜しくお願いいたします！！,5,3
