順位,ID,高専名,企業評価額(億円),丸札数,仁木 勝雅,川上 皓裕,佐渡 貴奈子,村上 由美子,松本 真尚,企業評価額 合計,受賞
1,DCON2025_6,豊田高専,7.0,5,3.5,7.0,3.0,3,6.0,22.5,最優秀賞
2,DCON2025_7,鳥羽商船高専,1.5,4,,0.7,1.5,1,0.5,3.7,経済産業大臣賞 / アクセスネット賞 / ビズリーチ賞 / 三菱電機エンジニアリング賞
3,DCON2025_5,富山高専 本郷キャンパス,0.8,2,,,0.8,0.05,,0.85,NECソリューションイノベータ賞 / セブン銀行賞 / ソフトバンク賞 / 日本ガイシ賞 / ロジスティード賞
4,DCON2025_2,仙台高専 広瀬キャンパス,0.7,4,0.2,,0.3,0.1,0.7,1.3,トヨタ自動車賞 / 丸井グループ賞 / ライオン賞
5,DCON2025_3,茨城高専,0.5,1,,,0.5,,,0.5,トピー工業賞 / 日立産業制御ソリューションズ賞 / Quick賞
6,DCON2025_8,沖縄高専,0.3,2,,,0.3,0.3,,0.6,フソウ賞 / 文部科学大臣賞（技術賞）
7,DCON2025_1,一関高専,0.3,2,0.3,,,0.05,,0.35,アイング賞 / さくらインターネット賞 / 日本電技賞 / 村田製作所賞
8,DCON2025_9,大阪公大高専,0.2,1,0.2,,,,,0.2,農林水産大臣賞
9,DCON2025_4,群馬高専,0.2,1,,,,0.2,,0.2,
10,DCON2025_10,岐阜高専＆福島高専,,0,,,,,,,
