ID,URL,高専,チーム名,作品名,メンター,メンター所属,チーム画像URL,作品概要,作品画像URL,順位,高専名,企業評価額(億円),丸札数,仁木 勝雅,川上 皓裕,佐渡 貴奈子,村上 由美子,松本 真尚,企業評価額 合計
DCON2025_1,https://dcon.ai/teams/teams/ichinoseki2025/,一関工業高等専門学校,Innodroid,FlexFit,柳原 尚史,式会社Ridge-i　代表取締役社長,https://dcon.ai/wp-content/uploads/2025/02/teamphoto_ichinoseki2025-3-1200x900.jpg,僕たちの開発に対するモチベーションは、技術的な興味と自分たちの技術で社会にインパクトを与えることです。DCONは技術探求に留まらない広い意味での創作活動を行う機会だと考えます。FlexFitは多彩なセンサー入力によって従来の筋電義肢と比較して数倍以上の表現力もつ新規の技術です。この作品が流通すれば義肢業界の新たなブレークスルーとして社会貢献的、ビジネス的に大きな存在感を持つと信じています。,https://dcon.ai/wp-content/uploads/2025/02/23.21.50-1200x674.png,7,一関高専,0.3,2,0.3,,,0.05,,0.35
DCON2025_2,https://dcon.ai/teams/teams/sendai2025/,仙台高等専門学校 広瀬キャンパス,Morinomiyako Oral Wellness,Properio AI,渋谷 修太,ラー株式会社　取締役会長,https://dcon.ai/wp-content/uploads/2025/02/teamphoto_sendai2025.jpeg,「Properio AI」は、ブラッシングの傾向を手軽に把握し、歯周病予防に繋げるシステムです。歯周病は、日本の50代の約半数が罹患しており、進行すると歯を失う大きな原因となります。この主な要因である不十分な歯磨きによる磨き残しを解消するため、本システムは深層学習を活用し、磨き残し箇所を推論して可視化・記録します。これにより、日々のブラッシング習慣を見直し、口腔内の健康維持に貢献します。,https://dcon.ai/wp-content/uploads/2025/02/23.46.45-1200x674.png,4,仙台高専 広瀬キャンパス,0.7,4,0.2,,0.3,0.1,0.7,1.3
DCON2025_3,https://dcon.ai/teams/teams/ibaraki2025/,茨城工業高等専門学校,明日のDCON楽しみだね,Locker.ai：LLM×スマートロッカーによる自動応対遺失物管理サービス,折茂 美保,ストン コンサルティング グループ　マネージング・ディレクター＆パートナー,https://dcon.ai/wp-content/uploads/2025/02/teamphoto_ibaraki2025-1200x675.jpg,Locker.aiは、遺失物管理業務の自動化により、遺失者、施設占有者、拾得者の負担を大幅に軽減する遺失物管理サービスです。いくつかのAIによる従来業務の省人化により、競合にはない柔軟な導入プランを実現し、施設のスケールに応じた最適な解決策を提供します。将来的には、マイナンバーカードや、宅配便会社やイベント運営会社との連携により、単なる業務効率化を超えた新しい遺失物管理のスタンダードを目指します。,https://dcon.ai/wp-content/uploads/2025/02/23.51.36-1200x765.jpg,5,茨城高専,0.5,1,,,0.5,,,0.5
DCON2025_4,https://dcon.ai/teams/teams/gunma2025/,群馬工業高等専門学校,合成音声研究会Dチーム,アバタードーム,岩佐 琢磨,式会社Shiftall　代表取締役CEO）,http://dcon.ai/wp-content/uploads/2025/02/teamphoto_gunma2025-1200x900.jpg,バーチャルアーティストが現実世界で行う3DCGライブは映像を上映する仕組みから、トロッコや花道などのライブ会場全体を使ったパフォーマンスが困難であることが課題だ。この課題に対し映像と本体の駆動が一体化した装置を作り両者をモーショントラッキングで操作するシステムを開発する。この装置とシステムの実現によって、バーチャルアーティストは高度なパフォーマンスが可能になり、観客は仮想世界がより身近になるだろう,https://dcon.ai/wp-content/uploads/2025/02/0.02.22-1200x681.png,9,群馬高専,0.2,1,,,,0.2,,0.2
DCON2025_5,https://dcon.ai/teams/teams/toyama2025/,富山高等専門学校 本郷キャンパス,Wider,Smart Care AI,河瀬 航大,式会社フォトシンス　代表取締役社長,https://dcon.ai/wp-content/uploads/2025/02/teamphoto_toyama2025-1200x900.jpg,本プロダクトは、育児の負担軽減を目的としたAIカメラシステムです。インタビュー調査を基に、ストレス軽減、育児記録の簡便化、思い出の保存を主な課題として特定しました。AIカメラにより赤ちゃんの状況を監視し、危険を検知してスマホに通知を行います。大規模言語モデルを活用し、従来の製品では実現できない機能を取り入れることで差別化を図っています。,https://dcon.ai/wp-content/uploads/2025/02/0.08.26-1200x740.png,3,富山高専 本郷キャンパス,0.8,2,,,0.8,0.05,,0.85
DCON2025_6,https://dcon.ai/teams/teams/toyota2025/,豊田工業高等専門学校,NAGARA,ながらかいご,福野 泰介,式会社jig.jp　取締役 創業者,https://dcon.ai/wp-content/uploads/2025/02/teamphoto_toyota2025-1200x900.jpg,超高齢社会となった今、介護業界は深刻な人手不足に悩まされています。その中でも介護の記録作業は未だ紙やタブレットを用いて手作業で行われており、ヒアリングを行った事業所も記録作成にかかる時間は深刻な問題であるとの意見が多数ありました。そのため、ながらかいごは腕に装着するウェアラブル端末で、本体に取り付けられたマイクを用いて介護中の会話から記録に必要な情報を抽出し、自動で記録を作成・共有します。,https://dcon.ai/wp-content/uploads/2025/02/0.16.25-1200x671.png,1,豊田高専,7.0,5,3.5,7.0,3.0,3,6.0,22.5
DCON2025_7,https://dcon.ai/teams/teams/toba2025/,鳥羽商船高等専門学校,ezaki-lab,めたましーど〜ノリ養殖を食害から守る〜,佐藤 聡,onnectome.design株式会社　代表取締役社長,https://dcon.ai/wp-content/uploads/2025/02/teamphoto_toba2025-1200x900.jpg,「めたましーど」は海苔養殖を食害から守るプロダクトです。海苔の生産量減少にはカモの食害が大きく影響しており、現状の対策として漁場を囲む網の設置などが進められてきましたが、生産者にとって大きな負担となっています。本サービスは、DLを活用してカモの識別や鳴き声の分類を行い、忌避音やドローンによる追い払いで食害行動を抑制します。これにより生産者の負担を軽減し、海苔養殖の収量倍増・収入増を目指します。,https://dcon.ai/wp-content/uploads/2025/02/0.21.02-1200x675.png,2,鳥羽商船高専,1.5,4,,0.7,1.5,1,0.5,3.7
DCON2025_8,https://dcon.ai/teams/teams/okinawa2025/,沖縄工業高等専門学校,沖縄マリンレジャーレスキュー隊,海難事故防止の必須アイテムRiCAS,田中 邦裕,くらインターネット株式会社　代表取締役社長）,https://dcon.ai/wp-content/uploads/2025/02/teamphoto_okinawa2025-2-1200x841.png,市場規模134億円のマリン産業の課題は海難事故です。RiCASは海面の画像から流れの方向と流れの速さ、および数分後の流れの変化をディープラーニングで可視化します。プライベートビーチを有するホテル、マリンレジャーを楽しむ個人ユーザー、漁業関係者にRiCAS装置/アプリを提供し収益を得ます。RiCASで誰もが安心してマリンレジャーを楽しんだり、生産性の高い漁業が行える社会の実現を目指します。,https://dcon.ai/wp-content/uploads/2025/02/0.25.23-1200x662.png,6,沖縄高専,0.3,2,,,0.3,0.3,,0.6
DCON2025_9,https://dcon.ai/teams/teams/osaka2025/,大阪公立大学工業高等専門学校,IdentiX,Worm Farmer,高橋 隆史,式会社ブレインパッド　取締役会長 CO-Founder,https://dcon.ai/wp-content/uploads/2025/02/teamphoto_osaka2025-1200x900.jpg,現在、養殖魚の飼料として利用されている魚粉には、生産量や価格の安定性に課題があります。そこで私たちは、栄養価の高い昆虫であるミールワームを魚粉の代替として活用できると考え、餌を投入するだけでミールワームの飼育・繁殖・収穫を一貫して自動化する装置を考案しました。この装置を農家に導入してもらい、規格外野菜を餌としてミールワームを生産することで、低コストかつ循環型の飼料生産システムを構築できます。,https://dcon.ai/wp-content/uploads/2025/02/0.33.27-1200x664.png,8,大阪公大高専,0.2,1,0.2,,,,,0.2
DCON2025_10,https://dcon.ai/teams/teams/gifu-fukushima2025/,岐阜工業高等専門学校・福島工業高等専門学校,Rebounder,AgriNode,岡田 陽介,式会社ABEJA　代表取締役CEO,https://dcon.ai/wp-content/uploads/2025/02/teamphoto_gifu-fukushima2025-1200x676.jpg,無人販売は、窃盗や不正支払いにより事業者に金銭的損害、精神的苦痛を与えます。これらの課題を改善するために、本製品はAIカメラとロードセルを活用し、商品取出しや支払いを正確に監視し、不正行為を検知します。また、スマートフォン連携によりデータ確認ができます。本製品は、安価かつ簡単に導入可能であることから野菜の無人販売に着目しました。高齢化や収入に課題のある農業従事者をサポートする製品を提供します。,https://dcon.ai/wp-content/uploads/2025/02/0.38.05-827x1200.png,10,岐阜高専＆福島高専,0,0,,,,,,0
