順位,高専名,チーム名,企業評価額,札,仁木氏,川上氏,佐藤氏,関氏,松本氏,企業評価額の合計
1位,豊田高専,Kanro AI,5億6000万円,5,1億3500万円,2億円,5億円,2億円,5億6000万円,15億9500万円
2位,沖縄高専,Rewave,4億円,3,0万円,0万円,3億円,5000万円,4億円,7億5000万円
3位,沖縄高専,Seesar Labs,3億円,4,2700万円,0万円,3億円,1億円,2億4000万円,6億6700万円
4位,神山まるごと高専,codell,2億4000万円,3,0万円,0万円,3000万円,1000万円,2億4000万円,2億8000万円
5位,沼津高専,SOUTA,3000万円,1,0万円,3000万円,0万円,0万円,0万円,3000万円
6位,舞鶴高専,mAizuru,2700万円,2,270万円,0万円,1000万円,0万円,0万円,3700万円
7位,仙台高専広瀬キャンパス,それいけ！運搬マン,1500万円,1,0万円,0万円,1500万円,0万円,0万円,1500万円
8位,久留米高専,Atelier-I,1000万円,1,0万円,0万円,1000万円,0万円,0万円,1000万円
-,沖縄高専,Omoide.lab,-,0,,,,,,
-,釧路高専,超音サンマ,-,0,,,,,,
