ID,URL,高専,チーム名,作品名,メンター,メンター所属,チーム画像URL,作品概要,作品画像URL,TIME,プレゼン順,プレゼンURL
DCON2026_1,https://dcon.ai/teams/teams/kushiro2026/,釧路工業高等専門学校,超音サンマ,Pulsar,岩佐 琢,株式会社Shiftall 代表取締役CEO,https://dcon.ai/wp-content/uploads/2026/02/teamphoto_kushiro2026-600x338.jpg,長時間イヤホンを使う人の「耳の痛み」や、家族の生活音（いびき等）に悩む人の「プライベートな空間」。本製品は、これらイヤホンとスピーカーが持つ二律背反の課題を解決します。装着の不快感や周囲への音漏れをなくし、特定の人にだけ音を届けることで、誰もが快適に過ごせる音響空間を創出します。,https://dcon.ai/wp-content/uploads/2026/02/overviews_kushiro2006-1200x672.png,4:18:32,1,https://www.youtube.com/watch?v=5LCJDsg9ejw&t=15512s
DCON2026_2,https://dcon.ai/teams/teams/sendai2026/,仙台高等専門学校 広瀬キャンパス,それいけ！運搬マン,Nego Delivery,田中 邦,さくらインターネット株式会社 代表取締役社長,http://dcon.ai/wp-content/uploads/2026/02/teamphoto_sendai2026.png,EC市場の拡大と2024年問題を背景に、運送業界では深刻なドライバーの人手不足が課題となっています。そこで、マンション・倉庫内に対応した全自動運搬ロボットと、配送計画を自律的に最適化するAIエージェントを組み合わせ、配達時間の決定から配送までを自動化するシステムを提案します。,http://dcon.ai/wp-content/uploads/2026/02/overviews_sendai2006-1200x673.png,1:04:20,2,https://www.youtube.com/watch?v=5LCJDsg9ejw&t=3860s
DCON2026_3,https://dcon.ai/teams/teams/numazu2026/,沼津工業高等専門学校,SOUTA,Gourmeet,西本 励,株式会社MENOU 代表取締役CEO,http://dcon.ai/wp-content/uploads/2026/02/teamphoto_numazu2026-1200x675.jpg,飲食店の混雑課題と高い廃業率を打破するために開発。中規模以下の飲食店向けに、カメラとAIで空席状況を10秒ごとに2Dマップ化し専用サイトへ自動配信します。15分予約機能等により、顧客の「行ってみたら満席」というストレスと、店舗の機会損失を同時に解消。一席単位の空席の可視化で経営を支援します。,https://dcon.ai/wp-content/uploads/2026/03/overviews_numazu2006-1200x673.png,2:16:20,3,https://www.youtube.com/watch?v=5LCJDsg9ejw&t=8180s
DCON2026_4,https://dcon.ai/teams/teams/toyota2026/,豊田工業高等専門学校,Kanro AI,Pipe Eye,渋谷 修,フラー株式会社 取締役会長,http://dcon.ai/wp-content/uploads/2026/02/teamphoto_toyota2026.jpg,日本では下水道の老朽化による陥没が社会課題となる中、現場の人手不足も深刻化しており、5年に1度の点検も困難になると予測されています。従来の方法では危険かつ時間がかかり、点検手法の改善は社会的急務となっています。そこで、スクリーニング検査を、リアルタイムに画像認識をしながら臨機応変に対応できる、スマートな自動点検ロボットを開発しました。,https://dcon.ai/wp-content/uploads/2026/02/overviews_toyota2006-1200x676.png,3:59:51,4,https://www.youtube.com/watch?v=5LCJDsg9ejw&t=14391s
DCON2026_5,https://dcon.ai/teams/teams/maizuru2026/,舞鶴工業高等専門学校,mAIzuru,ことの葉,佐藤 ,connectome.design株式会社 代表取締役社長,http://dcon.ai/wp-content/uploads/2026/02/teamphoto_maizuru2026-1200x900.jpg,「ことの葉」は、観葉植物と対話しながら世話を支援するプロダクトです。多くの人が癒しを求めつつも枯らしてしまう課題に対し、スティック型センサと専用アプリを開発しました。AIが土壌水分や日照データを解析し、結果をキャラクターのようなセリフで伝えます。,https://dcon.ai/wp-content/uploads/2026/02/overviews_maizuru2006-1200x667.png,1:57:15,5,https://www.youtube.com/watch?v=5LCJDsg9ejw&t=7035s
DCON2026_6,https://dcon.ai/teams/teams/kurume2026/,久留米工業高等専門学校,Atelier-I,あゆみ,小島 舞,株式会社クラフター 代表取締役,https://dcon.ai/wp-content/uploads/2026/02/teamphoto_kurume2026-600x450.jpg,視覚障がいのある高齢の家族と暮らすメンバーの実体験から生まれた、シルバーカーです。視力の弱い高齢者が抱える、白杖でも気づけない障害物への衝突リスクを解決。カメラとセンサーが周囲の危険を検知し、ハンドルの振動と音声で直感的に警告。身体を支える歩行補助と、AIによる目の代わりを1台で叶え、高齢者が安心して1人で外出できる社会を実現します。,https://dcon.ai/wp-content/uploads/2026/02/overviews_kurume2006-1200x668.png,3:01:54,6,https://www.youtube.com/watch?v=5LCJDsg9ejw&t=10914s
DCON2026_7,https://dcon.ai/teams/teams/okinawa-v2026/,沖縄工業高等専門学校,Omoide.lab,VocaSense ~声の揺らぎが知らせる認知症のサイン~,柳原 尚,株式会社Ridge-i 代表取締役社長,http://dcon.ai/wp-content/uploads/2026/02/teamphoto_okinawa-v2026-1200x900.jpg,日常会話から認知症を早期発見するVocaSenseを提案。学習データ不足の課題を生成AIによるデータ合成で解決し、マルチモーダルAIが会話のテキスト文と音響トーンから進行度を3段階(健常・MCI・認知症)で判定。プライバシーを守るエッジコンピューティングを採用した機体を部屋に置くだけで、高齢者の健康寿命延伸と介護DXを実現します。,http://dcon.ai/wp-content/uploads/2026/02/overviews_okinawa-v2006-1200x674.png,1:39:13,7,https://www.youtube.com/watch?v=5LCJDsg9ejw&t=5953s
DCON2026_8,https://dcon.ai/teams/teams/okinawa-s2026/,沖縄工業高等専門学校,Seesar Labs,HIKES,河瀬 航,株式会社フォトシンス 代表取締役社長,http://dcon.ai/wp-content/uploads/2026/02/teamphoto_okinawa-s2026-1200x900.jpg,無人防災市場の拡大と世界的な出火件数の増加を背景に、火災の早期検出から初期消火までを自動化する次世代消火プラットフォーム「HIKES」を提案。AIカメラによる高精度な火災検出・解析と、消火ユニットを搭載した四足歩行ロボットの高い機動力を組み合わせ、従来困難であった「発生から1分以内の初期消火」を実現する。無人完遂型システムにより、火災被害を左右する”空白の5分”を埋め、防災の新たなスタンダードを目指す。,https://dcon.ai/wp-content/uploads/2026/03/overviews_okinawa-s2006-2-1200x674.png,3:22:30,8,https://www.youtube.com/watch?v=5LCJDsg9ejw&t=12150s
DCON2026_9,https://dcon.ai/teams/teams/okinawa-r2026/,沖縄工業高等専門学校,Rewave,通信の空白地帯を消す！AIで被災地を可視化する災害デバイス「アドフォン」,福野 泰,株式会社jig.jp 取締役 創業者,http://dcon.ai/wp-content/uploads/2026/02/teamphoto_okinawa-r2026-1200x900.jpg,災害時に通信手段を失う被災者や救助側の課題を解決する次世代防災通信デバイス。通信途絶で使えなくなったスマホを流用し、アドホックLPWAで基地局に依存しない通信ネットワークを構築できます。AIを用いて被災地情報を極限まで圧縮して低ビットレート通信することで、アドフォン同士で音声や位置、安否情報を共有し、迅速な救助と命を守る情報伝達を実現します。,https://dcon.ai/wp-content/uploads/2026/02/overviews_okinawa-r2006-1200x665.png,3:40:12,9,https://www.youtube.com/watch?v=5LCJDsg9ejw&t=13212s
DCON2026_10,https://dcon.ai/teams/teams/kamiyama2026/,神山まるごと高等専門学校,codell,KiDUKi,折茂 美,ボストン コンサルティング グループ合同会社 マネージング・ディレクター&パートナー,http://dcon.ai/wp-content/uploads/2026/02/teamphoto_kamiyama2026-2-1200x900.jpg,介護現場では人手不足が深刻化し、知識の属人化により未経験者が働きにくい課題があります。本取り組みは、AR×AIを活用し「今・誰に・何をすべきか」を即座に可視化。経験差をテクノロジーで補い、人手不足下でも質を維持できる介護現場の実現を目指します。,http://dcon.ai/wp-content/uploads/2026/02/overviews_kamiyama2006-1200x673.png,1:21:13,10,https://www.youtube.com/watch?v=5LCJDsg9ejw&t=4873s
